Punkte/Alter;6 bis 7;8 bis 9;10 bis 11;12 bis 13;14 bis 15;16 bis 17;18 bis 19;20 bis 29;30 bis 39;40 bis 49;50
64;7,48;7,4;7,32;7,25;7,17;7,1;7,03;6,97;7,25;7,51;8,51
63;7,53;7,45;7,37;7,3;7,22;7,15;7,08;7,02;7,3;7,56;8,56
62;7,58;7,5;7,42;7,35;7,27;7,2;7,13;7,07;7,35;7,61;8,61
61;7,63;7,55;7,47;7,4;7,32;7,25;7,18;7,12;7,4;7,66;8,66
60;7,68;7,6;7,52;7,45;7,37;7,3;7,23;7,17;7,45;7,71;8,71
59;7,73;7,65;7,57;7,5;7,42;7,35;7,28;7,22;7,5;7,76;8,76
58;7,78;7,7;7,62;7,55;7,47;7,4;7,33;7,27;7,55;7,81;8,81
57;7,83;7,75;7,67;7,6;7,52;7,45;7,38;7,32;7,6;7,86;8,86
56;7,88;7,8;7,72;7,65;7,57;7,5;7,43;7,37;7,65;7,91;8,91
55;7,93;7,85;7,77;7,7;7,62;7,55;7,48;7,42;7,7;7,96;8,96
54;7,98;7,9;7,82;7,75;7,67;7,6;7,53;7,47;7,75;8,01;9,01
53;8,03;7,95;7,87;7,8;7,72;7,65;7,58;7,52;7,8;8,06;9,06
52;8,08;8;7,92;7,85;7,77;7,7;7,63;7,57;7,85;8,11;9,11
51;8,13;8,05;7,97;7,9;7,82;7,75;7,68;7,62;7,9;8,16;9,16
50;8,18;8,1;8,02;7,95;7,87;7,8;7,73;7,67;7,95;8,21;9,21
49;8,23;8,15;8,07;8;7,92;7,85;7,78;7,72;8;8,26;9,26
48;8,28;8,2;8,12;8,05;7,97;7,9;7,83;7,77;8,05;8,31;9,31
47;8,33;8,25;8,17;8,1;8,02;7,95;7,88;7,82;8,1;8,36;9,36
46;8,38;8,3;8,22;8,15;8,07;8;7,93;7,87;8,15;8,41;9,41
45;8,43;8,35;8,27;8,2;8,12;8,05;7,98;7,92;8,2;8,46;9,46
44;8,48;8,4;8,32;8,25;8,17;8,1;8,03;7,97;8,25;8,51;9,51
43;8,53;8,45;8,37;8,3;8,22;8,15;8,08;8,02;8,3;8,56;9,56
42;8,58;8,5;8,42;8,35;8,27;8,2;8,13;8,07;8,35;8,61;9,61
41;8,63;8,55;8,47;8,4;8,32;8,25;8,18;8,12;8,4;8,66;9,66
40;8,68;8,6;8,52;8,45;8,37;8,3;8,23;8,17;8,45;8,71;9,71
39;8,73;8,65;8,57;8,5;8,42;8,35;8,28;8,22;8,5;8,76;9,76
38;8,78;8,7;8,62;8,55;8,47;8,4;8,33;8,27;8,55;8,81;9,81
37;8,83;8,75;8,67;8,6;8,52;8,45;8,38;8,32;8,6;8,86;9,86
36;8,88;8,8;8,72;8,65;8,57;8,5;8,43;8,37;8,65;8,91;9,91
35;8,93;8,85;8,77;8,7;8,62;8,55;8,48;8,42;8,7;8,96;9,96
34;8,98;8,9;8,82;8,75;8,67;8,6;8,53;8,47;8,75;9,01;10,01
33;9,03;8,95;8,87;8,8;8,72;8,65;8,58;8,52;8,8;9,06;10,06
32;9,08;9;8,92;8,85;8,77;8,7;8,63;8,57;8,85;9,11;10,11
31;9,13;9,05;8,97;8,9;8,82;8,75;8,68;8,62;8,9;9,16;10,16
30;9,18;9,1;9,02;8,95;8,87;8,8;8,73;8,67;8,95;9,21;10,21
29;9,23;9,15;9,07;9;8,92;8,85;8,78;8,72;9;9,26;10,26
28;9,28;9,2;9,12;9,05;8,97;8,9;8,83;8,77;9,05;9,31;10,31
27;9,33;9,25;9,17;9,1;9,02;8,95;8,88;8,82;9,1;9,36;10,36
26;9,38;9,3;9,22;9,15;9,07;9;8,93;8,87;9,15;9,41;10,41
25;9,43;9,35;9,27;9,2;9,12;9,05;8,98;8,92;9,2;9,46;10,46
24;9,48;9,4;9,32;9,25;9,17;9,1;9,03;8,97;9,25;9,51;10,51
23;9,53;9,45;9,37;9,3;9,22;9,15;9,08;9,02;9,3;9,56;10,56
22;9,58;9,5;9,42;9,35;9,27;9,2;9,13;9,07;9,35;9,61;10,61
21;9,63;9,55;9,47;9,4;9,32;9,25;9,18;9,12;9,4;9,66;10,66
20;9,68;9,6;9,52;9,45;9,37;9,3;9,23;9,17;9,45;9,71;10,71
19;9,73;9,65;9,57;9,5;9,42;9,35;9,28;9,22;9,5;9,76;10,76
18;9,78;9,7;9,62;9,55;9,47;9,4;9,33;9,27;9,55;9,81;10,81
17;9,83;9,75;9,67;9,6;9,52;9,45;9,38;9,32;9,6;9,86;10,86
16;9,88;9,8;9,72;9,65;9,57;9,5;9,43;9,37;9,65;9,91;10,91
15;9,93;9,85;9,77;9,7;9,62;9,55;9,48;9,42;9,7;9,96;10,96
14;9,98;9,9;9,82;9,75;9,67;9,6;9,53;9,47;9,75;10,01;11,01
13;10,03;9,95;9,87;9,8;9,72;9,65;9,58;9,52;9,8;10,06;11,06
12;10,08;10;9,92;9,85;9,77;9,7;9,63;9,57;9,85;10,11;11,11
11;10,13;10,05;9,97;9,9;9,82;9,75;9,68;9,62;9,9;10,16;11,16
10;10,18;10,1;10,02;9,95;9,87;9,8;9,73;9,67;9,95;10,21;11,21
9;10,23;10,15;10,07;10;9,92;9,85;9,78;9,72;10;10,26;11,26
8;10,28;10,2;10,12;10,05;9,97;9,9;9,83;9,77;10,05;10,31;11,31
7;10,33;10,25;10,17;10,1;10,02;9,95;9,88;9,82;10,1;10,36;11,36
6;10,38;10,3;10,22;10,15;10,07;10;9,93;9,87;10,15;10,41;11,41
5;10,43;10,35;10,27;10,2;10,12;10,05;9,98;9,92;10,2;10,46;11,46
4;10,48;10,4;10,32;10,25;10,17;10,1;10,03;9,97;10,25;10,51;11,51
3;10,53;10,45;10,37;10,3;10,22;10,15;10,08;10,02;10,3;10,56;11,56
2;10,58;10,5;10,42;10,35;10,27;10,2;10,13;10,07;10,35;10,61;11,61
1;10,63;10,55;10,47;10,4;10,32;10,25;10,18;10,12;10,4;10,66;11,66
0;10,68;10,6;10,52;10,45;10,37;10,3;10,23;10,17;10,45;10,71;11,71
